CHOL(386),COCA(2005),ESCA(514),LIHC(1163),PAAD(389),STAD(928),3149 all,44 common,cooccurence(5955)
,,,,,,UGT1A3,,NR3C1
,,,,,,VASH2,,BCL7A
,,,,,,DST,,PAH
,,,,,,EPHA5,,BAP1
,,,,,,PCSK7,,TLR3
,,,,,,PLXDC1,,EDN2
,,,,,,HABP2,,GATA1
,,,,,,ADH4,,XPA
,,,,,,SPG7,,CPS1
,,,,,,CDK10,,BLM
,,,,,,ECHS1,,ACHE
,,,,,,HEPN1,,CD58
,,,,,,HIPK2,,TPO
,,,,,,HMBS,,CLOCK
,,,,,,HEPACAM,,KIR2DL4
,,,,,,AIMP1,,PFAS
,,,,,,OAT,,DSG3
,,,,,,ESAM,,STRA13
,,,,,,ULK1,,NLK
,,,,,,CBL,,GPI
,,,,,,ABR,,CCR6
,,,,,,PPP2R1B,,HOXA5
,,,,,,RPL9,,CYBB
,,,,,,RPS6KB1,,NOX4
,,,,,,ACOX2,,PDHX
,,,,,,BASP1,,RPL10
,,,,,,APLN,,NEUROG3
,,,,,,ASPM,,CALB2
,,,,,,ASS1,,SLCO1B3
,,,,,,B4GALNT1,,SLCO1B1
,,,,,,BNIPL,,PALB2
,,,,,,CABYR,,RECQL
,,,,,,CAP2,,ACP2
,,,,,,CCL26,,ACPP
,,,,,,CCT3,,ATRX
,,,,,,CD8A,,LPO
,,,,,,CTH,,CELA1
,,,,,,CXCL6,,PVT1
,,,,,,CXCR1,,ASAH1
,,,,,,CYP4F3,,MLANA
,,,,,,DAB1,,MAP2K3
,,,,,,DIAPH3,,TMPRSS2
,,,,,,DUSP6,,NTSR1
,,,,,,ENAH,,ABCC3
,,,,,,ERRFI1,,WSB1
,,,,,,FDPS,,JUP
,,,,,,FGR,,NRG2
,,,,,,FPR2,,HOXB7
,,,,,,FUT2,,RAMP2
,,,,,,FYN,,SPAG1
,,,,,,GALNT14,,MAPT
,,,,,,GDA,,PTF1A
,,,,,,GDF2,,SCX
,,,,,,GEM,,SNCA
,,,,,,GNAO1,,NR1I2
,,,,,,GPAA1,,STX1A
,,,,,,HAS2,,PRSS1
,,,,,,IGDCC3,,PPP1R15A
,,,,,,IL1RL1,,CXCR6
,,,,,,ITGA9,,DCK
,,,,,,ITGB8,,PTPN12
,,,,,,KLF11,,SORBS2
,,,,,,MBL2,,SMURF2
,,,,,,MPO,,WWP1
,,,,,,MSRA,,MAGEC2
,,,,,,NAMPT,,RALA
,,,,,,NOG,,SLC2A2
,,,,,,NR4A2,,CTNNA3
,,,,,,PADI4,,SP4
,,,,,,PBLD,,CAPN10
,,,,,,PFKFB4,,FANCC
,,,,,,PLA2G6,,FANCD2
,,,,,,PLK3,,PPIA
,,,,,,PON1,,PCM1
,,,,,,PROM1,,DDB1
,,,,,,RACGAP1,,TP63
,,,,,,RGS5,,CFH
,,,,,,SCARA5,,MIR205
,,,,,,SCRIB,,C14orf166
,,,,,,SLC28A1,,MAPKAPK2
,,,,,,SLC2A3,,ABCB4
,,,,,,SLC38A2,,THOC1
,,,,,,SOX6,,RPS6KA2
,,,,,,SPOCK1,,HMGCR
,,,,,,SSX2,,OAZ1
,,,,,,SYT13,,EFNA1
,,,,,,TROAP,,WHSC1L1
,,,,,,ASH1L,,SYNE1
,,,,,,BICC1,,INSC
,,,,,,CNOT1,,DYRK1B
,,,,,,LRP1,,ACCS
,,,,,,MACF1,,SBNO2
,,,,,,MPDZ,,C19orf26
,,,,,,NRXN1,,FXYD3
,,,,,,PCDH7,,PBX1
,,,,,,TDRD5,,KIF14
,,,,,,TET1,,TEAD2
,,,,,,TNR,,PTTG1
,,,,,,TNRC6B,,CPA1
,,,,,,CTBP2,,ECT2
,,,,,,CXXC4,,WNT7A
,,,,,,ACRV1,,NPTX2
,,,,,,CHFR,,RELB
,,,,,,MNX1,,CPB1
,,,,,,MEF2A,,KLF10
,,,,,,FBXL20,,KRT17
,,,,,,DPAGT1,,PTN
,,,,,,PRDX3,,FANCG
,,,,,,GPAM,,CTRC
,,,,,,CUL5,,MAGED1
,,,,,,TMEM176A,,DAG1
,,,,,,TMEM176B,,F10
,,,,,,NANOS1,,APRT
,,,,,,RPL23,,NR5A2
,,,,,,PIEZO1,,RAB40AL
,,,,,,TDRD1,,RALBP1
,,,,,,SOCS7,,CDC37
,,,,,,ASCC3,,IAPP
,,,,,,FOXR1,,SIN3B
,,,,,,TMPRSS4,,TDO2
,,,,,,BRF1,,IDO1
,,,,,,MCAM,,IDO2
,,,,,,GEMIN4,,TXNRD1
,,,,,,LPAR6,,CLIP1
,,,,,,HBA1,,RBM15
,,,,,,TRPV6,,GAD2
,,,,,,ST8SIA2,,GAD1
,,,,,,UBE3C,,PYGM
,,,,,,SPA17,,CIITA
,,,,,,HTRA1,,SPRED2
,,,,,,LASP1,,BCL9L
,,,,,,HYOU1,,SPRY3
,,,,,,SEC63,,SPRED3
,,,,,,MCMBP,,SPRY2
,,,,,,PRSS1,,SPRY1
,,,,,,PNLIPRP3,,FGF16
,,,,,,CBFA2T3,,FGF20
,,,,,,HACE1,,NUDT6
,,,,,,SLCO3A1,,SPRED1
,,,,,,DRD2,,SPATA5
,,,,,,GLRX3,,FANCA
,,,,,,ST14,,PMP22
,,,,,,GRAMD4,,IKBKE
,,,,,,HADH,,ARL2
,,,,,,ME1,,RP9
,,,,,,RPS15,,RNF13
,,,,,,PAPSS1,,INSM1
,,,,,,POU2F3,,PTPN1
,,,,,,APRT,,TBX4
,,,,,,HMGN3,,IFNAR2
,,,,,,OPCML,,SPEN
,,,,,,CRELD2,,KIN
,,,,,,USP2,,CDK16
,,,,,,SOX8,,GNAS
,,,,,,CRK,,DAXX
,,,,,,WDR11,,PCSK7
,,,,,,CDH15,,MAP4K1
,,,,,,MIR100,,CUL7
,,,,,,SNAI3,,STK24
,,,,,,PTBP1,,RNASEL
,,,,,,RNMTL1,,ULK1
,,,,,,PRAP1,,MAL2
,,,,,,HDLBP,,NRG1
,,,,,,SERPINB1,,MZB1
,,,,,,ADAMTS2,,APLP2
,,,,,,PRPF4B,,FAM3C
,,,,,,CDC16,,ICA1
,,,,,,STK24,,SRSF1
,,,,,,OXGR1,,MICU1
,,,,,,RPS21,,TRPC4
,,,,,,ST7,,TRPM6
,,,,,,SLC16A3,,TRPV5
,,,,,,CUL4A,,TRPM8
,,,,,,LRAT,,TRPA1
,,,,,,TSLP,,TRPV4
,,,,,,GPC6,,TRPV3
,,,,,,ENO3,,IGHG1
,,,,,,FAM43B,,WLS
,,,,,,MYOM1,,REG1B
,,,,,,PLTP,,TRIM5
,,,,,,UGT2B10,,DISC1
,,,,,,AASS,,TRPC1
,,,,,,ABCC10,,TLX2
,,,,,,ACAA1,,UCP3
,,,,,,ACAA2,,UCP2
,,,,,,ACLY,,LTB
,,,,,,ADAMTS13,,GTF2I
,,,,,,AKAP3,,PHLPP2
,,,,,,ALAS2,,OGFR
,,,,,,ALDH1B1,,E2F3
,,,,,,ALPL,,ST8SIA2
,,,,,,AMPH,,NRCAM
,,,,,,APOBEC2,,HNRNPA1
,,,,,,APOBEC3A,,FKBP5
,,,,,,APOBEC3C,,ONECUT1
,,,,,,AQP3,,PKHD1
,,,,,,C1orf61,,GRIA3
,,,,,,CAPG,,RPL13
,,,,,,CARD18,,SLCO2A1
,,,,,,CCDC158,,SLCO4A1
,,,,,,CCDC40,,CSF1R
,,,,,,CCL14,,NKX6-1
,,,,,,CCNF,,TBX2
,,,,,,CDC14B,,TRPS1
,,,,,,CKAP2,,NUPR1
,,,,,,CLEC4D,,SLC28A1
,,,,,,CMTM5,,SRL
,,,,,,CNTFR,,RPS6
,,,,,,CRMP1,,PCK2
,,,,,,CTAG2,,UIMC1
,,,,,,CUL7,,TPT1
,,,,,,CXCL14,,CHD3
,,,,,,CYP3A43,,GSTO1
,,,,,,CYP4F2,,RASGRF2
,,,,,,DACT1,,TLL1
,,,,,,DACT2,,NEFM
,,,,,,DIRAS3,,FBN2
,,,,,,DNA2,,NPTX1
,,,,,,DNAJC12,,EGR4
,,,,,,DOCK8,,STK10
,,,,,,DPT,,PPP2R2A
,,,,,,DUSP9,,CELF2
,,,,,,DYNC1I1,,NGF
,,,,,,EGFL8,,MICB
,,,,,,EGR2,,VDAC2
,,,,,,EHMT2,,RREB1
,,,,,,F2RL3,,TRPM1
,,,,,,FAM189B,,SIM1
,,,,,,FANCC,,ARID1B
,,,,,,FCN2,,SMARCA2
,,,,,,FPR1,,SGK1
,,,,,,FRMD6,,WISP2
,,,,,,FTCD,,PARPBP
,,,,,,GABRA3,,DCTD
,,,,,,GALC,,CTH
,,,,,,GBA3,,DUSP1
,,,,,,GLDC,,RAP2B
,,,,,,GLYATL1,,PSMA7
,,,,,,GMNN,,DCX
,,,,,,GNAZ,,COL14A1
,,,,,,GNRH2,,CLSPN
,,,,,,GPD1,,UBR2
,,,,,,GRHPR,,KLK6
,,,,,,GRIK1,,CCAR2
,,,,,,GSPT2,,SIRT6
,,,,,,GSTA2,,SIRT2
,,,,,,HAVCR1,,GP2
,,,,,,HEY1,,AKTIP
,,,,,,HIPK3,,COMP
,,,,,,HIST1H2BF,,DUSP6
,,,,,,HMGB2,,TMSB10
,,,,,,HOXA7,,ARPC2
,,,,,,HOXA9,,CDH10
,,,,,,HSPB6,,CCSER1
,,,,,,IGFALS,,EXOC1
,,,,,,IKBKE,,NDEL1
,,,,,,IL12A,,NFATC1
,,,,,,IL1RAP,,GOLM1
,,,,,,INHA,,SHC1
,,,,,,IQGAP3,,BMP5
,,,,,,ITIH4,,PPIB
,,,,,,ITLN1,,CYP7A1
,,,,,,JDP2,,REG1A
,,,,,,KCNJ10,,ORC2
,,,,,,KCNK17,,KAT7
,,,,,,KIF11,,NCK1
,,,,,,KLF10,,VAV1
,,,,,,LAMC1,,ANP32A
,,,,,,LDLR,,CHD4
,,,,,,LHX4,,AGL
,,,,,,LILRB2,,CDK9
,,,,,,LIN9,,CDK5
,,,,,,LRFN2,,ARTN
,,,,,,LRRC1,,MAPK6
,,,,,,MAFF,,DPM1
,,,,,,MAP2K3,,ACRV1
,,,,,,MAP7,,MAP4K3
,,,,,,MCM3,,MITF
,,,,,,MCM5,,TPD52L2
,,,,,,MSR1,,CXCR5
,,,,,,MT1M,,USP11
,,,,,,MYRIP,,HOXB1
,,,,,,NCALD,,STIL
,,,,,,NETO2,,FANCF
,,,,,,NFAM1,,AKR7A2
,,,,,,NR2F1,,LAMA2
,,,,,,NR4A3,,SSTR5
,,,,,,NUSAP1,,ING3
,,,,,,OIT3,,SERPINE2
,,,,,,PACRG,,RAP1GAP
,,,,,,PAGE4,,TGFB2
,,,,,,PAK7,,TGFB3
,,,,,,PCA3,,NOTCH3
,,,,,,PDE11A,,KEAP1
,,,,,,PDE4B,,AKR1C1
,,,,,,PDGFRL,,MAP2K2
,,,,,,PEA15,,ERRFI1
,,,,,,PFKFB3,,SLC39A4
,,,,,,PLP2,,VMP1
,,,,,,POLE2,,PYY
,,,,,,PPBP,,NEK9
,,,,,,PPM1K,,DGKA
,,,,,,PPP1R15A,,STK33
,,,,,,PROK2,,PIK3CG
,,,,,,PTPN3,,PCDHB2
,,,,,,PYGO2,,CMAS
,,,,,,RAG1,,NHLH1
,,,,,,RASD1,,STC1
,,,,,,RASSF9,,INA
,,,,,,RGS17,,UTRN
,,,,,,RPL30,,JDP2
,,,,,,RPL36A,,CTDSP1
,,,,,,RS1,,NR2E3
,,,,,,SCAMP3,,EEF1A1
,,,,,,SCG2,,TRIM33
,,,,,,SCGB3A1,,SESN2
,,,,,,SCRT1,,PDYN
,,,,,,SHF,,USP9X
,,,,,,SHMT1,,PSAP
,,,,,,SIRPB1,,ADRB1
,,,,,,SKA1,,MYO6
,,,,,,SLC22A8,,SDC4
,,,,,,SLC38A4,,LTB4R2
,,,,,,SLC7A2,,SMARCC1
,,,,,,SLCO1A2,,ITGB4
,,,,,,SMC4,,RALGDS
,,,,,,SNRPE,,ITGA6
,,,,,,SOX11,,TACR1
,,,,,,SP8,,TLR10
,,,,,,SPON2,,MSR1
,,,,,,SRD5A1,,TSC2
,,,,,,SSR2,,HSPA1B
,,,,,,ST3GAL6,,HIST1H1C
,,,,,,TCP10L,,HBA1
,,,,,,TMEM45A,,FAM84B
,,,,,,TP53I3,,MARCKS
,,,,,,TSPO2,,FILIP1L
,,,,,,TUBA1B,,LRP2
,,,,,,TUSC1,,HPCAL1
,,,,,,UBXN8,,NFATC2
,,,,,,UGT2B28,,MBD1
,,,,,,VNN3,,MTF1
,,,,,,WFDC1,,LRP1
,,,,,,WHSC1,,C21orf2
,,,,,,ZG16,,KLF11
,,,,,,SMO,,PEG10
,,,,,,MDM2,,STX2
,,,,,,TGFBR1,,CCNE2
,,,,,,TGFB2,,FBLN2
,,,,,,PARP1,,LIN28B
,,,,,,CEACAM5,,PCBP1
,,,,,,DLL4,,TUSC3
,,,,,,IHH,,VASH1
,,,,,,SMURF1,,GSS
,,,,,,TBX2,,NUAK1
,,,,,,PNP,,NOP14
,,,,,,CALU,,FUT6
,,,,,,PTF1A,,MTNR1B
,,,,,,AGL,,FTO
,,,,,,DUOX2,,BCL11A
,,,,,,WNT6,,IFI16
,,,,,,PALLD,,NUSAP1
,,,,,,WNT10A,,PRC1
,,,,,,FGFR3,,GNA11
,,,,,,IRS4,,NEU1
,,,,,,TRPA1,,PRKCZ
,,,,,,DUOXA2,,LDB1
,,,,,,IGFBP2,,DIRAS3
,,,,,,SRSF1,,SLC38A1
,,,,,,PAX3,,CABYR
,,,,,,FZD5,,PWP1
,,,,,,FZD7,,CNR2
,,,,,,OCA2,,TRIB3
,,,,,,ICOS,,CLPTM1L
,,,,,,CASQ2,,HNRNPC
,,,,,,TP53BP1,,PRDX2
,,,,,,FMN1,,MAP4K4
,,,,,,PSEN2,,MIR141
,,,,,,CPA1,,MUC17
,,,,,,MED29,,EFNA3
,,,,,,RAP1B,,EFNA4
,,,,,,WHSC1L1,,EFNA2
,,,,,,GFRA1,,EFNB3
,,,,,,AHNAK,,EFNA5
,,,,,,FOXG1,,TSLP
,,,,,,B2M,,HOXD13
,,,,,,SPRED1,,KHDRBS1
,,,,,,IGFBP5,,HNRNPA2B1
,,,,,,MRPL28,,CHD7
,,,,,,ARHGAP8,,ARHGAP8
,,,,,,NRF1,,ARHGAP1
,,,,,,OAZ1,,ARHGAP5
,,,,,,DISC1,,ARHGAP6
,,,,,,DR1,,ARHGAP20
,,,,,,ARPC2,,RACGAP1
,,,,,,TLL1,,ARHGAP25
,,,,,,MIR29A,,CHN1
,,,,,,TRPV5,,CHN2
,,,,,,WWC2,,ARHGAP19
,,,,,,SBNO2,,ARHGAP24
,,,,,,PLXNA4,,SRGAP2
,,,,,,SLC39A3,,SRGAP1
,,,,,,CDC42BPA,,ARHGAP9
,,,,,,HHIPL2,,ARHGAP15
,,,,,,XRCC5,,PIK3R2
,,,,,,AMY2A,,ARHGAP27
,,,,,,ARID4B,,ARHGAP26
,,,,,,PIM3,,ARHGAP17
,,,,,,TTLL4,,ARHGAP10
,,,,,,FOXF2,,ARHGAP12
,,,,,,MIR375,,GMIP
,,,,,,VIL1,,ARHGAP22
,,,,,,TRPM1,,ARHGAP18
,,,,,,STK36,,STARD13
,,,,,,CTDSP1,,MAP3K8
,,,,,,AKR1B1,,FASLG
,,,,,,HNRNPC,,TP53AIP1
,,,,,,IL22,,MAPK11
,,,,,,KDM5A,,MTNR1A
,,,,,,TBX4,,SMC4
,,,,,,FRS2,,LSP1
,,,,,,FOXJ3,,LUM
,,,,,,ADIPOR2,,CCKAR
,,,,,,PAF1,,MT-ND2
,,,,,,SKIL,,MIR483
,,,,,,PLEKHG2,,TNFAIP8
,,,,,,BNC1,,TNNT1
,,,,,,TLX2,,ADK
,,,,,,FOXD2,,CTSH
,,,,,,TRPC5,,NOX5
,,,,,,ARHGAP10,,ABCC5
,,,,,,SLC32A1,,RGL2
,,,,,,TFF1,,RGL1
,,,,,,CCK,,MIR20A
,,,,,,CCKBR,,GPC1
,,,,,,IL4,,KISS1R
,,,,,,TFF3,,PF4
,,,,,,GKN1,,RUNDC3B
,,,,,,JAK2,,PNLIP
,,,,,,ADAM17,,CLPS
,,,,,,GKN2,,PNLIPRP2
,,,,,,IL31,,HSF1
,,,,,,IL2RA,,LIG3
,,,,,,DIABLO,,RAD54L
,,,,,,HNF1A,,MAML2
,,,,,,PDCD5,,MAML3
,,,,,,CLDN3,,RASA4
,,,,,,NMBR,,PARG
,,,,,,PLAUR,,RRAS2
,,,,,,RHOB,,HPSE2
,,,,,,HDAC2,,MRVI1
,,,,,,CAST,,REN
,,,,,,IRF1,,PRKCB
,,,,,,CA11,,SLC18A1
,,,,,,CXCL9,,ABCA12
,,,,,,HRH2,,ANXA8
,,,,,,IL32,,SESN1
,,,,,,IRX1,,KRT13
,,,,,,IL3,,NAV3
,,,,,,GPI,,MYO18B
,,,,,,FSCN1,,SSTR3
,,,,,,FOXL1,,ZBTB4
,,,,,,GIP,,ZBTB34
,,,,,,KLF8,,RGS16
,,,,,,MUC13,,OR13C4
,,,,,,PDGFRB,,B3GNT6
,,,,,,PIM1,,PALLD
,,,,,,PROC,,NEK2
,,,,,,SERPINA1,,ALDH3A1
,,,,,,SPINK1,,UBC
,,,,,,SKP1,,ACTL6A
,,,,,,SOS1,,SMARCA4
,,,,,,IL13,,SMARCD2
,,,,,,MBP,,GFRA1
,,,,,,GATA4,,RPS15
,,,,,,PMS2,,MNX1
,,,,,,ANGPTL4,,PER3
,,,,,,HAVCR2,,CLTB
,,,,,,KRT8,,GCK
,,,,,,RBP2,,TFEB
,,,,,,ATP4A,,GPC6
,,,,,,ST7L,,HSPA2
,,,,,,IL5,,PSMD1
,,,,,,KCNQ1,,INCENP
,,,,,,BTC,,SEMA3F
,,,,,,CCL7,,GIT2
,,,,,,GSDMB,,HOXA3
,,,,,,HEYL,,ZNF462
,,,,,,HMGB3,,PER2
,,,,,,IGSF11,,RAD17
,,,,,,JAK3,,CDR2
,,,,,,KCNE2,,PENK
,,,,,,RORA,,SOD3
,,,,,,VLDLR,,SIAH2
,,,,,,WIF1,,OGT
,,,,,,TTN,,GCGR
,,,,,,HPD,,TNFRSF1B
,,,,,,GTF2H3,,EPAS1
,,,,,,MIR409,,TBK1
,,,,,,HINT1,,NCAPG
,,,,,,PPIC,,SIK1
,,,,,,CRIP1,,SLC39A6
,,,,,,POPDC3,,KCNN4
,,,,,,CD164,,DMBT1
,,,,,,TMEM8B,,SCAMP1
,,,,,,ITIH3,,RPLP2
,,,,,,APOC1,,APOD
,,,,,,ARC,,ITGB6
,,,,,,BIK,,IGJ
,,,,,,CADM2,,FGA
,,,,,,CDCA8,,BIRC2
,,,,,,CLDN5,,FADS2
,,,,,,CLDN7,,TRAP1
,,,,,,DSG2,,TGM2
,,,,,,FOXA3,,MAPRE2
,,,,,,FUT4,,STARD7
,,,,,,GJB1,,MELK
,,,,,,HES2,,ACVR2A
,,,,,,KCNK16,,KDM6A
,,,,,,LAMB3,,VGLL4
,,,,,,LIMK1,,S100A13
,,,,,,LPAR2,,PSMD11
,,,,,,LYN,,LAS1L
,,,,,,LZTS1,,SENP3
,,,,,,NUF2,,KMT2A
,,,,,,PRDM5,,PELP1
,,,,,,RTKN,,TTL
,,,,,,TRIM31,,WDR5
,,,,,,CHRM2,,TTLL4
,,,,,,CTNNA2,,PCTP
,,,,,,EPB41L3,,LAMP2
,,,,,,FCRL3,,RETN
,,,,,,MED23,,VNN1
,,,,,,MYO5A,,MED29
,,,,,,PCDH8,,MGLL
,,,,,,PTPRB,,CRTC1
,,,,,,SORCS3,,HNF4A
,,,,,,TACC2,,FXYD1
,,,,,,TLN2,,SRPX
,,,,,,EEF1A1,,CCDC80
,,,,,,MIR382,,ASXL2
,,,,,,HSD3B1,,EPC1
,,,,,,MYT1L,,NCOA1
,,,,,,PPP1CB,,ASXL3
,,,,,,SMAP1,,KDM1A
,,,,,,HADHA,,ASXL1
,,,,,,TRAF3,,EDNRB
,,,,,,MACROD2,,ANK2
,,,,,,NCOA1,,GDI2
,,,,,,GJB6,,CCNI
,,,,,,INF2,,FAM3B
,,,,,,GRIK2,,TRPC5
,,,,,,VPS37B,,SEMA3A
,,,,,,ATG12,,THBS2
,,,,,,MARK3,,NSUN2
,,,,,,POU3F2,,HSPA1A
,,,,,,CRIM1,,ICAM2
,,,,,,CCDC62,,LYPD3
,,,,,,EP400,,RPS9
,,,,,,DRAM2,,CPEB4
,,,,,,TNFAIP2,,PPP3CA
,,,,,,CNDP2,,QSOX1
,,,,,,DLK1,,HHIPL1
,,,,,,GPRC5A,,FUK
,,,,,,NLRC4,,MBTPS1
,,,,,,YWHAE,,PSMA3
,,,,,,ROCK2,,UBE2K
,,,,,,MAPRE3,,GNE
,,,,,,ADCY3,,SOX15
,,,,,,PREP,,PSMA1
,,,,,,VPS33A,,SLC29A3
,,,,,,NCAPH2,,SLC29A1
,,,,,,VSNL1,,SLC28A3
,,,,,,AHCYL1,,SLC22A3
,,,,,,GNAI3,,SLC22A1
,,,,,,PDSS2,,SLC22A2
,,,,,,PDLIM4,,SLC22A11
,,,,,,PGAM5,,SLC22A18
,,,,,,RAD50,,CTRB1
,,,,,,HDAC10,,GLB1
,,,,,,RBFOX1,,LIMK2
,,,,,,BCL7A,,DGCR8
,,,,,,ZNF664,,TNFRSF10A
,,,,,,ANKRD6,,ILF3
,,,,,,PDIA6,,ILF2
,,,,,,ORAOV1,,GNAT1
,,,,,,CASZ1,,GALNT3
,,,,,,TLN1,,RECQL4
,,,,,,PRKCI,,RECQL5
,,,,,,HORMAD1,,TPH1
,,,,,,LMX1A,,CBR1
,,,,,,LTK,,AKR1A1
,,,,,,TSPYL5,,ALDH1L1
,,,,,,ACAN,,SOX10
,,,,,,ADAM33,,SBDS
,,,,,,ADH7,,LSM8
,,,,,,AFF3,,PLK2
,,,,,,AGR2,,FHOD3
,,,,,,ALOX12,,FHDC1
,,,,,,ANO5,,TMEM30A
,,,,,,BBC3,,DIAPH3
,,,,,,BTG2,,FHOD1
,,,,,,C4A,,FMN2
,,,,,,CADM4,,TP53INP1
,,,,,,CASK,,TFAP4
,,,,,,CENPH,,KIF12
,,,,,,CHRNA5,,FUT7
,,,,,,CLDN17,,PRDM15
,,,,,,COL3A1,,TNFSF15
,,,,,,CPEB1,,RIPK4
,,,,,,CRADD,,AQP1
,,,,,,CXCL16,,SUV39H1
,,,,,,DEFA6,,FLII
,,,,,,DHRS9,,GAP43
,,,,,,DISP1,,HCRT
,,,,,,DUSP5,,IGF2BP3
,,,,,,EMP1,,EPN3
,,,,,,EOMES,,HEXIM1
,,,,,,FEZF1,,DUOXA2
,,,,,,FMNL2,,DUOX1
,,,,,,FOXH1,,ADH4
,,,,,,GALNT4,,ADH5
,,,,,,GATA1,,SSR2
,,,,,,GPR160,,TNFRSF11B
,,,,,,GPR35,,MKNK2
,,,,,,GPR39,,DLG5
,,,,,,GRASP,,SORBS3
,,,,,,HELLS,,TRIM63
,,,,,,HOXA2,,MIR424
,,,,,,HS3ST2,,KDM2B
,,,,,,IDO1,,LSS
,,,,,,IL17B,,HLA-DRB1
,,,,,,KCNH2,,PLA2G1B
,,,,,,KLF2,,CDC42BPA
,,,,,,LIMS2,,ID3
,,,,,,LIPF,,GRM1
,,,,,,LPAR3,,OXTR
,,,,,,LRP8,,OPRK1
,,,,,,MAPT,,GIPR
,,,,,,MLNR,,BRS3
,,,,,,MS4A2,,RGS4
,,,,,,MSX2,,DAB1
,,,,,,NID2,,SCTR
,,,,,,PGA5,,GARS
,,,,,,PKP3,,GTF2H2
,,,,,,PLOD3,,PLXNA4
,,,,,,PPY,,EDA
,,,,,,PTPRJ,,RPS18
,,,,,,RASSF7,,SREBF2
,,,,,,RCC2,,OSBPL5
,,,,,,REEP2,,RAP1GDS1
,,,,,,RNF180,,RAP1B
,,,,,,SDPR,,MCPH1
,,,,,,SPC24,,RIPK1
,,,,,,SPC25,,TOPBP1
,,,,,,ST3GAL3,,SNW1
,,,,,,STMN2,,CUZD1
,,,,,,SUV39H2,,CYP2C8
,,,,,,TCEAL7,,GUCY2F
,,,,,,TSC22D3,,ERN1
,,,,,,TSPAN8,,CYP51A1
,,,,,,WDR62,,EPHX1
,,,,,,WWC1,,SLC32A1
,,,,,,,,CSMD2
,,,,,,,,CTAG2
,,,,,,,,MMP16
,,,,,,,,PLCB3
,,,,,,,,RBM5
,,,,,,,,HOXB6
,,,,,,,,HOXB2
,,,,,,,,PTK2B
,,,,,,,,FOXN3
,,,,,,,,FOXP4
,,,,,,,,FOXK2
,,,,,,,,PAX3
,,,,,,,,FOXJ1
,,,,,,,,FOXI1
,,,,,,,,FOXN1
,,,,,,,,FOXN4
,,,,,,,,FOXR1
,,,,,,,,FOXR2
,,,,,,,,FOXB1
,,,,,,,,FOXD4L3
,,,,,,,,FOXD4L1
,,,,,,,,FOXF2
,,,,,,,,FOXC1
,,,,,,,,FOXK1
,,,,,,,,FOXG1
,,,,,,,,FOXA1
,,,,,,,,FOXJ3
,,,,,,,,FOXE3
,,,,,,,,FOXD4
,,,,,,,,FOXD1
,,,,,,,,FOXD2
,,,,,,,,PIM3
,,,,,,,,SERPINB11
,,,,,,,,F5
,,,,,,,,MIR27B
,,,,,,,,EEA1
,,,,,,,,CYB5A
,,,,,,,,PSEN2
,,,,,,,,PAX9
,,,,,,,,CETN1
,,,,,,,,CETN2
,,,,,,,,PSMD4
,,,,,,,,PSMA5
,,,,,,,,ARHGEF28
,,,,,,,,ARHGEF2
,,,,,,,,ROBO4
,,,,,,,,FBLN5
,,,,,,,,GABARAPL2
,,,,,,,,GAS5
,,,,,,,,ATAT1
,,,,,,,,ASPM
,,,,,,,,RRM1
,,,,,,,,KREMEN2
,,,,,,,,ABCB11
,,,,,,,,ABCC12
,,,,,,,,KSR1
,,,,,,,,ARRB2
,,,,,,,,RBBP9
,,,,,,,,PHLDA3
,,,,,,,,C4A
,,,,,,,,IL13
,,,,,,,,KDM5C
,,,,,,,,ZBTB33
,,,,,,,,NAP1L1
,,,,,,,,TPI1
,,,,,,,,PTS
,,,,,,,,HRK
,,,,,,,,AES
,,,,,,,,GSTA4
,,,,,,,,GSPT2
,,,,,,,,PLVAP
,,,,,,,,EDIL3
,,,,,,,,DDOST
,,,,,,,,PTCHD3
,,,,,,,,B3GALT5
,,,,,,,,SALL3
,,,,,,,,CSN2
,,,,,,,,AHNAK
,,,,,,,,EPS8
,,,,,,,,ABCE1
,,,,,,,,EIF2B5
,,,,,,,,APCS
,,,,,,,,FOLR1
,,,,,,,,ELAVL3
,,,,,,,,SLC30A10
,,,,,,,,SLC30A8
,,,,,,,,U2AF1
,,,,,,,,SLC39A3
,,,,,,,,DDX43
,,,,,,,,TTF1
,,,,,,,,GLRX
,,,,,,,,MLKL
,,,,,,,,PSEN1
,,,,,,,,PEAK1
,,,,,,,,ULK3
,,,,,,,,MRPL12
,,,,,,,,WARS
,,,,,,,,RCAN1
,,,,,,,,MIR520H
,,,,,,,,GYPC
,,,,,,,,GDF2
,,,,,,,,COL7A1
,,,,,,,,PLEKHG2
,,,,,,,,NUP153
,,,,,,,,PPID
,,,,,,,,MANF
,,,,,,,,RAP2A
,,,,,,,,DDIAS
,,,,,,,,PON1
,,,,,,,,SLC44A4
,,,,,,,,G6PD
,,,,,,,,DYRK1A
,,,,,,,,SRGN
,,,,,,,,PLS1
,,,,,,,,RFC4
,,,,,,,,COPB2
,,,,,,,,CREBBP
,,,,,,,,ABL2
,,,,,,,,TNC
,,,,,,,,CXCL3
,,,,,,,,LY6E
,,,,,,,,FLT3
,,,,,,,,ESR1
,,,,,,,,DDR1
,,,,,,,,CCR9
,,,,,,,,TLR7
,,,,,,,,ACVRL1
